match_id,batter,runs,balls_faced,got_out,strike_rate,avg_runs_last_5,batting_team,bowling_team,inning,target_runs
980927,AB de Villiers,29,22,1,131.8181818181818,46.6,Royal Challengers Bangalore,Mumbai Indians,1,83.0
980931,AB de Villiers,83,46,1,180.43478260869566,50.0,Royal Challengers Bangalore,Rising Pune Supergiants,1,20.0
980937,AB de Villiers,20,16,1,125.0,53.8,Royal Challengers Bangalore,Gujarat Lions,1,47.0
980953,AB de Villiers,47,33,1,142.42424242424244,46.8,Royal Challengers Bangalore,Sunrisers Hyderabad,2,4.0
980959,AB de Villiers,4,6,1,66.66666666666666,36.6,Royal Challengers Bangalore,Kolkata Knight Riders,1,1.0
980969,AB de Villiers,1,3,1,33.33333333333333,31.0,Royal Challengers Bangalore,Rising Pune Supergiants,2,64.0
980977,AB de Villiers,64,35,1,182.85714285714286,27.2,Royal Challengers Bangalore,Kings XI Punjab,1,24.0
980981,AB de Villiers,24,27,1,88.88888888888889,28.0,Royal Challengers Bangalore,Mumbai Indians,1,129.0
980987,AB de Villiers,129,53,0,243.39622641509436,44.4,Royal Challengers Bangalore,Gujarat Lions,1,59.0
980995,AB de Villiers,59,32,0,184.375,55.4,Royal Challengers Bangalore,Kolkata Knight Riders,2,0.0
980999,AB de Villiers,0,2,1,0.0,55.2,Royal Challengers Bangalore,Kings XI Punjab,1,6.0
981011,AB de Villiers,6,9,1,66.66666666666666,43.6,Royal Challengers Bangalore,Delhi Daredevils,2,79.0
981013,AB de Villiers,79,48,0,164.58333333333331,54.6,Royal Challengers Bangalore,Gujarat Lions,2,5.0
981019,AB de Villiers,5,6,1,83.33333333333334,29.8,Royal Challengers Bangalore,Sunrisers Hyderabad,2,89.0
1082598,AB de Villiers,89,49,0,181.6326530612245,35.8,Royal Challengers Bangalore,Kings XI Punjab,1,19.0
1082602,AB de Villiers,19,22,1,86.36363636363636,39.6,Royal Challengers Bangalore,Mumbai Indians,1,29.0
1082607,AB de Villiers,29,32,1,90.625,44.2,Royal Challengers Bangalore,Rising Pune Supergiant,2,8.0
